property_id,seating_type,industry_anzsic4_code,location_zip,clue_small_area,trading_name,x_coordinate,location_address,location_city,location_state,number_of_seats,ogc_fid,industry_anzsic4_description,y_coordinate,census_year,street_address, base_property_id,block_id
"110679","Seats - Outdoor","4512",null,"Melbourne (CBD)","South Melbourne Dim Sims","144.9572395",null,null,null,"49",40448,"Takeaway Food Services","-37.80745984","2017"," Peel Street","108118","113"
"109418","Seats - Outdoor","4511",null,"Melbourne (CBD)","Starbucks","144.9674304",null,null,null,"25",40482,"Cafes and Restaurants","-37.81584777","2017","199-209 Collins Street","109418","26"
"109418","Seats - Indoor","4511",null,"Melbourne (CBD)","Allegro Restaurant","144.9674304",null,null,null,"75",40508,"Cafes and Restaurants","-37.81584777","2017","199-209 Collins Street","109418","26"
"110669","Seats - Indoor","4400",null,"Melbourne (CBD)","Causeway 353 Hotel","144.9629844",null,null,null,"40",40536,"Accommodation","-37.81570426","2017","353-359 Little Collins Street","110669","34"
"101212","Seats - Indoor","9113",null,"Melbourne (CBD)","Charltons Entertainment Complex / Roxanne Bar","144.9685359",null,null,null,"50",40552,"Sports and Physical Recreation Venues, Grounds and Facilities Operation","-37.81206119","2017","152-158 Bourke Street","101212","57"
"106222","Seats - Outdoor","4520",null,"Carlton","University Hotel","144.9672432",null,null,null,"58",40554,"Pubs, Taverns and Bars","-37.8005263","2017","270-276 Lygon Street","106222","218"
"109997","Seats - Indoor","4511",null,"East Melbourne","Il Duca Restaurant","144.9855915",null,null,null,"60",40560,"Cafes and Restaurants","-37.81618515","2017","132-142 Wellington Parade","109997","607"
"109260","Seats - Indoor","4511",null,"Melbourne (CBD)","Hungry Jack's Pty Ltd","144.9668342",null,null,null,"277",40570,"Cafes and Restaurants","-37.81709702","2017","15-19 Swanston Street","109260","15"
"589462","Seats - Indoor","4511",null,"Port Melbourne","Sabre Cafe","144.9063359",null,null,null,"74",40571,"Cafes and Restaurants","-37.82797655","2017","38-46 Sabre Drive","589462","790"
"105692","Seats - Indoor","4511",null,"Melbourne (CBD)","Pacific BBQ Cafe ","144.9661427",null,null,null,"100",40610,"Cafes and Restaurants","-37.81144245","2017","213-215 Lonsdale Street","105692","66"
"103623","Seats - Indoor","4512",null,"Melbourne (CBD)","Black Velvet Espresso ","144.9711075",null,null,null,"14",40611,"Takeaway Food Services","-37.81240259","2017","136-144 Exhibition Street","103623","48"
